Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,1.351607,1.433959,1.345931,1.415588,1.415588,0
2018-02-01,1.420011,1.427633,1.377771,1.390608,1.390608,0
2018-03-01,1.375308,1.424501,1.371535,1.401699,1.401699,0
2018-04-01,1.401699,1.437711,1.371667,1.377107,1.377107,0
2018-05-01,1.377221,1.377600,1.320777,1.328356,1.328356,0
2018-06-01,1.328904,1.347346,1.305193,1.321004,1.321004,0
2018-07-01,1.321004,1.336005,1.295908,1.313543,1.313543,0
2018-08-01,1.311837,1.314579,1.266336,1.301101,1.301101,0
2018-09-01,1.296193,1.329610,1.279329,1.303101,1.303101,0
2018-10-01,1.303951,1.325732,1.270245,1.270890,1.270890,0
2018-11-01,1.276552,1.317436,1.272734,1.278445,1.278445,0
2018-12-01,1.276308,1.283401,1.248128,1.269358,1.269358,0
2019-01-01,1.275022,1.321004,1.251878,1.311716,1.311716,0
2019-02-01,1.310925,1.334882,1.277400,1.331824,1.331824,0
2019-03-01,1.326489,1.333156,1.296227,1.304495,1.304495,0
2019-04-01,1.302185,1.319609,1.286703,1.293243,1.293243,0
2019-05-01,1.304070,1.317697,1.256013,1.260970,1.260970,0
2019-06-01,1.263903,1.278396,1.250719,1.269599,1.269599,0
2019-07-01,1.269374,1.270810,1.212106,1.216160,1.216160,0
2019-08-01,1.215466,1.230527,1.201923,1.215894,1.215894,0
2019-09-01,1.215894,1.258305,1.195943,1.229317,1.229317,0
2019-10-01,1.229060,1.301270,1.219929,1.290173,1.290173,0
2019-11-01,1.293862,1.298212,1.276976,1.293000,1.293000,0
2019-12-01,1.292900,1.350986,1.289807,1.311303,1.311303,0
2020-01-01,1.325400,1.327100,1.295673,1.308900,1.308900,0
