Date,Open,High,Low,Close,Adj Close,Volume
01-04-2019,45.814999,48.3675,43.325001,45.25,44.942688,943778000
01-05-2019,45.7775,46.217499,33.8475,33.865002,33.635006,1118075200
01-06-2019,33.977501,41.342499,33.150002,41.057499,40.825199,823334000
01-07-2019,43.142502,44.7225,38.75,42.18,41.941357,841598400
01-08-2019,42.285,43.362499,36.8475,41.877499,41.640553,945032800
01-09-2019,41.145,47.099998,40.8125,43.517502,43.314121,634776800
01-10-2019,43.75,52.224998,42.532501,50.255001,50.02013,769617200
01-11-2019,49.900002,55.352501,49.647499,54.185001,53.931759,732180000
01-12-2019,54.115002,60.452499,50.092499,58.825001,58.593281,654353200
01-01-2020,59.6875,64.875,57.817501,59.107498,58.874653,612541200
01-02-2020,58.924999,79.080002,58.862499,67.517502,67.251534,1184865200
01-03-2020,69.224998,71.222504,45.169998,65.900002,65.679688,1577395200
01-04-2020,63.912498,76.050003,59.5975,73.07,72.825699,1127830400
01-05-2020,71.087502,91.817497,70.209999,88.754997,88.458267,1254887600
01-06-2020,88.332497,96.425003,86.580002,94.977501,94.659966,971946400
01-07-2020,95.207497,107.922501,94.129997,106.147499,105.840904,809445200
01-08-2020,107.324997,135.75,107.152496,133.744995,133.358658,967254400
01-09-2020,134.800003,147.267502,117.042503,135.304993,134.914124,1585655200
01-10-2020,137.580002,143.485001,123,125.339996,125.01535,802235600
01-11-2020,126.577499,146.914993,123.949997,134.014999,133.667847,759482000
01-12-2020,134.922501,137.3125,127.6325,130.550003,130.211853,512099600
01-01-2021,131.042496,139.992493,125.860001,129.897507,129.599304,615417200
01-02-2021,130.532501,153.725006,129.027496,137.145004,136.830185,668032400
01-03-2021,138.75,139.25,115.665001,133.482498,133.176102,764865600
01-04-2021,135.722504,162.142502,135.112503,150.095001,149.802124,671879600
01-05-2021,151.25,162.774994,134.589996,162.445007,162.128067,705438000
01-06-2021,162.699997,201.625,159.032501,200.024994,199.634705,1027329200
01-07-2021,201.25,208.75,178.654999,194.990005,194.654144,782307700
01-08-2021,197,230.429993,187.619995,223.850006,223.464462,641638600
01-09-2021,224.850006,229.860001,204.669998,207.160004,206.839661,499898600
01-10-2021,207.5,257.089996,195.550003,255.669998,255.274643,497107800
01-11-2021,256.48999,346.470001,252.270004,326.76001,326.2547,1081117000
01-12-2021,332.190002,332.890015,271.450012,294.109985,293.655151,1105850500
01-01-2022,298.149994,307.109985,208.880005,244.860001,244.511276,1068216400
01-02-2022,251.039993,269.25,208.899994,243.850006,243.502731,1064427000
01-03-2022,242.910004,289.459991,206.5,272.859985,272.471375,1164459900
01-04-2022,273.75,275.579987,182.899994,185.470001,185.237427,1111439000
01-05-2022,185.410004,204,155.669998,186.720001,186.48584,1383302100
01-06-2022,187.240005,196.190002,148.619995,151.589996,151.399918,1055479100
01-07-2022,148.990005,182.440002,140.550003,181.630005,181.440567,1056447600
01-08-2022,181.820007,192.740005,149.589996,150.940002,150.782593,1206964800
01-09-2022,142.089996,145.470001,119.459999,121.389999,121.263397,1313057800
01-10-2022,123.470001,138.5,108.129997,134.970001,134.869308,1254927700
01-11-2022,138.110001,169.979996,129.559998,169.229996,169.10376,1060060300
01-12-2022,169.990005,187.899994,138.839996,146.139999,146.068329,894615200
01-01-2023,148.509995,206.279999,140.339996,195.369995,195.274185,945496000
01-02-2023,196.910004,238.880005,196.110001,232.160004,232.046143,1039347900
01-03-2023,231.919998,278.339996,222.970001,277.769989,277.633759,1126373100
01-04-2023,275.089996,281.100006,262.200012,277.48999,277.401001,743592100
01-05-2023,278.399994,419.380005,272.399994,378.339996,378.218658,1169636000
01-06-2023,384.890015,439.899994,373.559998,423.019989,422.884369,1052209200
01-07-2023,425.170013,480.880005,413.459991,467.290009,467.188538,870489500
01-08-2023,464.600006,502.660004,403.109985,493.549988,493.44278,1363143600
01-09-2023,497.619995,498,409.799988,434.98999,434.895508,857510100
01-10-2023,440.299988,476.089996,392.299988,407.799988,407.744995,1013917700
01-11-2023,408.839996,505.480011,408.690002,467.700012,467.636963,914386300
01-12-2023,465.25,504.329987,450.100006,495.220001,495.153229,740951700
01-01-2024,492.440002,634.929993,473.200012,615.27002,615.24115,970385300
01-02-2024,621,823.940002,616.5,791.119995,791.082886,1107569200
01-03-2024,800,974,794.349976,878.369995,878.328796,716133000
15-03-2024,870,895.460022,862.570007,878.36499,878.36499,64208616
